majr,desc,cip
31AB,"Parks, Recreation & Leisure",310301
31AG,Kinesiology & Exercise Science,310505
3201,Basic Skills & Devl/Remed Edu.,3201
3301,Citizenship Activities.,3301
3401,Health-Rel Knowledge & Skills,3401
3501,Interpersonal & social skills.,3501
3601,Leisure & Rec Activities,3601
36AA,Leisure & Recreational Active,360101
3701,Pers Awareness & Self-improve.,3701
3800,"Philosophy & Rel Studies, Gen.",3800
3801,Philosophy.,3801
3802,Religion/Religious Studies.,3802
3899,"Philosophy and Rel Stds, Other",3899
38AK,Islamic Studies,380205
3902,Bible/Biblical Studies.,390201
3903,Mission/ary Stds & Missiology.,3903
3904,Religious Education.,3904
3905,Religious/Sacred Music.,3905
3906,Theo & Ministerial Studies.,3906
3907,Pastoral Couns & Sp Ministries,3907
3999,"Theology & Rel Vocations, Oth.",3999
39AB,Missions/Missionary Studies,390301
39AL,Youth Ministry,390702
4001,Physical Sciences,4001
4002,Astrophysics,4002
4004,Atmospheric Sci & Meteorology.,4004
4005,Chemistry.,4005
4006,Geological & Earth Sci/Geosci.,4006
4008,Physics.,4008
4010,Materials Sciences.,4010
4099,"Physical Sciences, Other.",4099
4100,"Science Tech/Technicians, Gen.",4100
4101,Bio/Biotech Lab Technician,4101
4102,Nuc & Indust Radio Tech/Techn.,4102
4103,Physical Science Tech/Techn.,4103
4199,"Science Tech/Techn, Other.",4199
4201,"Psychology, General.",4201
4202,Clinical Psychology.,4202
4203,Cognitive Psych & Psycholing.,4203
4204,Community Psychology.,4204
4205,Comparative Psychology.,4205
4206,Counseling Psychology.,4206
4207,Developmental and Child Psych.,4207
4208,Experimental Psychology.,4208
4209,Industrial and Org Psych.,4209
4210,Personality Psychology.,4210
4211,Physiological Psych/Psychobio.,4211
4216,Social Psychology.,4216
4217,School Psychology.,4217
4218,Educational Psychology.,4218
4219,Psychometrics & Quant. Psych.,4219
4220,Clinical Child Psychology.,4220
4221,Environmental Psychology.,4221
4222,Geropsychology.,4222
4223,Health Psychology.,4223
4224,Psychopharmacology.,4224
4225,Family Psychology.,4225
4226,Forensic Psychology.,4226
4227,Research & Experimental Psych.,4227
4228,"Clinical, Couns & Appl Psych.",4228
4299,"Psychology, Other.",4299
42AY,Developmental  & Child Psych,422703
42BG,Clinical Psychology,422801
42BH,Community Psychology,422802
42BK,School Psychology,422805
42BL,Educational Psychology,422806
42BR,Forensic Psychology,422812
4301,Criminal Justice & Corrections,4301
4302,Fire Protection.,4302
4303,Homeland Security.,4303
4399,"Law Enf, Firef & Rel Prot Svcs",4399
4400,"Human Services, General.",4400
4402,Community Org & Advocacy.,4402
4404,Public Administration.,4404
4405,Public Policy Analysis.,4405
4407,Social Work.,4407
4499,"Pub Admin & Soc Svce Prof, Oth",4499
44AA,"Human Services, General",440000
44AJ,Youth Services/Administration,440702
4501,"Social Sciences, General.",4501
4502,Anthropology.,4502
4503,Archeology.,4503
4504,Criminology.,4504
4505,Demography and Pop Studies,4505
4506,Economics.,4506
4507,Geography and Cartography.,4507
4509,Int'l Rel & National Sec Stds.,4509
4510,Political Science & Government,4510
4511,Sociology.,4511
4512,Urban Studies/Affairs.,4512
4513,Sociology and Anthropology.,4513
4514,Rural Sociology.,4514
4599,"Social Sciences, Other.",4599
45AH,Archeology,450301
45BD,Sociology and Anthropology,451301
4600,"Construction Trades, General.",4600
4601,Mason/Masonry.,4601
4602,Carpenters.,4602
4603,Elect & Power Trans Installers,4603
